fout,mag,phase
0.000243326197352758,0.999999999999996,-5.2558458484575e-06
0.000254817323227573,0.999999999999995,-5.50405417302173e-06
0.000266851119703858,0.999999999999995,-5.7639841646979e-06
0.000279453214503814,0.999999999999994,-6.03618943083387e-06
0.00029265044562369,0.999999999999994,-6.32124962115922e-06
0.000306470918489204,0.999999999999993,-6.61977183995155e-06
0.00032094406581014,0.999999999999992,-6.93239181648059e-06
0.00033610071026159,0.999999999999992,-7.25977531717449e-06
0.000351973130125331,0.999999999999991,-7.60261959595273e-06
0.000368595128031127,0.99999999999999,-7.96165476822577e-06
0.000386002102944349,0.99999999999999,-8.33764540117239e-06
0.000404231125553231,0.999999999999988,-8.73139229485027e-06
0.000423321017216298,0.999999999999987,-9.14373397069564e-06
0.000443312432638103,0.999999999999986,-9.57554852896718e-06
0.000464247946449341,0.999999999999985,-1.00277556461344e-05
0.000486172143875728,0.999999999999983,-1.05013183050992e-05
0.000509131715688726,0.999999999999982,-1.09972450597512e-05
0.000533175557640351,0.99999999999998,-1.15165920323556e-05
0.000558354874593789,0.999999999999978,-1.20604652798863e-05
0.000584723289571613,0.999999999999976,-1.26300230331361e-05
0.000612336957953823,0.999999999999973,-1.32264782793271e-05
0.000641254687068899,0.999999999999971,-1.38511012429436e-05
0.000671538061432577,0.999999999999968,-1.4505222121009e-05
0.000703251573901041,0.999999999999965,-1.51902339964737e-05
0.000736462763017859,0.999999999999961,-1.59075956752701e-05
0.000771242356847139,0.999999999999957,-1.66588348923117e-05
0.000807664423599249,0.999999999999954,-1.74455515302144e-05
0.000845806529369856,0.999999999999949,-1.8269421028851e-05
0.000885749903328226,0.999999999999944,-1.91321979094061e-05
0.000927579610706564,0.999999999999939,-2.00357195910413e-05
0.000971384733958822,0.999999999999933,-2.09819102457278e-05
0.00101725856247475,0.999999999999927,-2.19727849329674e-05
0.00106529879125326,0.999999999999919,-2.30104538871802e-05
0.00111560772895812,0.999999999999912,-2.40971269323144e-05
0.00116829251579917,0.999999999999903,-2.52351183290118e-05
0.00122346535170302,0.999999999999893,-2.64268515836063e-05
0.00128124373525912,0.999999999999884,-2.76748646769559e-05
0.0013417507139501,0.999999999999872,-2.8981815420497e-05
0.00140511514619933,0.99999999999986,-3.03504871557979e-05
0.00147147197579371,0.999999999999846,-3.1783794670391e-05
0.00154096251926608,0.999999999999831,-3.3284790406215e-05
0.00161373476684938,0.999999999999815,-3.48566709606693e-05
0.00168994369764341,0.999999999999797,-3.65027838548339e-05
0.00176975160966539,0.999999999999777,-3.8226634772412e-05
0.0018533284654872,0.999999999999756,-4.00318948495614e-05
0.00194085225419547,0.999999999999732,-4.19224086898921e-05
0.00203250937044525,0.999999999999706,-4.39022024049089e-05
0.00212849501141455,0.999999999999678,-4.59754922396751e-05
0.00222901359250519,0.999999999999647,-4.8146693580144e-05
0.00233427918267515,0.999999999999613,-5.04204303548782e-05
0.00244451596032961,0.999999999999575,-5.28015447421025e-05
0.00255995869074148,0.999999999999534,-5.52951077291454e-05
0.0026808532260183,0.999999999999489,-5.79064296718809e-05
0.00280745702868003,0.99999999999944,-6.06410717956141e-05
0.00294003971996307,0.999999999999386,-6.35048579504109e-05
0.00307888365401787,0.999999999999326,-6.65038869262064e-05
0.00322428451922326,0.999999999999261,-6.96445455948565e-05
0.00337655196789792,0.99999999999919,-7.29335225101897e-05
0.00353601027575007,0.999999999999111,-7.63778219533365e-05
0.00370299903246982,0.999999999999025,-7.99847790976145e-05
0.0038778738649349,0.999999999998931,-8.37620754787459e-05
0.00406100719456985,0.999999999998828,-8.77177553937977e-05
0.00425278903047171,0.999999999998715,-9.18602430507325e-05
0.00445362779999119,0.99999999999859,-9.61983604812925e-05
0.00466395121853818,0.999999999998454,-0.000100741346318994
0.00488420720046405,0.999999999998305,-0.000105498875518568
0.00511486481296042,0.999999999998141,-0.000110481079965951
0.00535641527500615,0.999999999997961,-0.000115698569953394
0.00560937300348963,0.999999999997764,-0.000121162456875899
0.00587427670873449,0.999999999997548,-0.000126884376907268
0.00615169054176168,0.999999999997311,-0.000132876515706652
0.00644220529573127,0.999999999997051,-0.000139151634397323
0.00674643966412246,0.999999999996765,-0.000145723096754051
0.00706504155833151,0.999999999996453,-0.000152604897649991
0.0073986894874934,0.99999999999611,-0.00015981169294117
0.00774809400346584,0.999999999995734,-0.000167358830483259
0.00811399921405296,0.999999999995322,-0.000175262383031231
0.00849718436769122,0.999999999994869,-0.000183539182373069
0.00889846551297248,0.999999999994373,-0.000192206855091931
0.00931869723653829,0.999999999993829,-0.000201283860325688
0.00975877448304665,0.999999999993233,-0.000210789528862304
0.0102196344610869,0.999999999992578,-0.000220744104397995
0.0107022586391022,0.999999999991861,-0.000231168786627377
0.0112076748355689,0.999999999991074,-0.000242085776483685
0.0117369594078865,0.999999999990211,-0.00025351832326186
0.0122912395446368,0.999999999989264,-0.00026549077422249
0.0128716956660965,0.999999999988226,-0.00027802862646029
0.013479563938114,0.999999999987088,-0.000291158581138922
0.0141161389047048,0.99999999998584,-0.000304908600435646
0.014782776244971,0.999999999984471,-0.000319307967004969
0.015480895660218,0.99999999998297,-0.00033438734638113
0.0162119838974148,0.999999999981323,-0.000350178852332138
0.0169775979154385,0.999999999979517,-0.000366716115139916
0.0177793682008445,0.999999999977537,-0.000384034353315452
0.0186190022402258,0.999999999975365,-0.000402170448583555
0.0194982881565537,0.999999999972984,-0.000421163024417111
0.0204190985172464,0.999999999970372,-0.000441052528248058
0.021383394322074,0.999999999967507,-0.000461881317673145
0.0223932291793932,0.999999999964366,-0.000483693750654458
0.0234507536796053,0.999999999960921,-0.000506536279905566
0.0245582199751516,0.999999999957143,-0.000530457551946709
0.0257179865768,0.999999999952999,-0.000555508510612777
0.0269325233764376,0.999999999948455,-0.000581742505561107
0.0282044169070646,0.999999999943472,-0.000609215405919068
0.0295363758511933,0.999999999938006,-0.000637985719236802
0.0309312368093821,0.999999999932013,-0.00066811471605047
0.0323919703411893,0.99999999992544,-0.000699666560488551
0.0339216872914125,0.999999999918231,-0.000732708446781244
0.0355236454150856,0.999999999910326,-0.000767310742449044
0.0372012563153425,0.999999999901656,-0.000803547138106866
0.0389580927089229,0.999999999892148,-0.000841494804468945
0.040797896034793,0.999999999881721,-0.000881234556592683
0.0427245844220847,0.999999999870286,-0.000922851026086599
0.0447422610343221,0.999999999857745,-0.000966432841295113
0.0468552228077059,0.999999999843991,-0.00101207281604539
0.0490679696020647,0.999999999828908,-0.0010598681472997
0.0513852137839622,0.999999999812367,-0.00110992062222232
0.0538118902623676,0.999999999794227,-0.00116233683482609
0.0563531669982635,0.999999999774332,-0.00121722841307686
0.0590144560105712,0.999999999752515,-0.00127471225662077
0.0618014249018331,0.999999999728588,-0.0013349107856945
0.0647200089281981,0.999999999702348,-0.00139795220181628
0.0677764236394134,0.99999999967357,-0.00146397076090642
0.0709771781157437,0.999999999642011,-0.00153310705913018
0.074329088830005,0.9999999996074,-0.00160550833230242
0.0778392941642363,0.999999999569444,-0.00168132876952849
0.0815152696119241,0.999999999527817,-0.00176072984152653
0.0853648436981542,0.999999999482166,-0.00184388064444537
0.0893962146515961,0.999999999432102,-0.00193095826010699
0.093617967863825,0.999999999377197,-0.0020221481330039
0.0980390941731635,0.999999999316984,-0.00211764446529868
0.102669009011981,0.99999999925095,-0.00221765063046144
0.10751757245823,0.999999999178531,-0.00232237960620693
0.112595110233913,0.999999999099111,-0.00243205442827063
0.117912435695219,0.999999999012012,-0.00254690866525284
0.123480872861133,0.999999998916493,-0.00266718691609563
0.12931228052959,0.999999998811739,-0.00279314533098132
0.135419077532507,0.999999998696857,-0.00292505215686124
0.141814269183496,0.999999998570869,-0.00306318830873425
0.148511474974576,0.999999998432699,-0.00320784796782001
0.155524957580862,0.999999998281172,-0.00335933920821728
0.162869653235009,0.999999998114995,-0.00351798465282341
